key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
g4165,g4165.mp3,7.262,3,2,4.496939,5.532517,1.035578
g4166,g4166.mp3,7.20975,3,0,0.0,1.033923,1.033923
g4166,g4166.mp3,7.20975,3,1,3.227052,3.752358,0.525306
g4166,g4166.mp3,7.20975,3,2,4.417982,5.447415,1.029433
g4167,g4167.mp3,6.9485,3,0,0.0,1.044739,1.044739
g4167,g4167.mp3,6.9485,3,1,3.31068,3.835057,0.524376
g4167,g4167.mp3,6.9485,3,2,4.368662,5.402653,1.033991
g4168,g4168.mp3,6.9485,3,0,0.0,1.040952,1.040952
g4168,g4168.mp3,6.9485,3,1,3.065986,3.587868,0.521882
g4168,g4168.mp3,6.9485,3,2,4.232834,5.266259,1.033424
g4169,g4169.mp3,7.131375,3,0,0.0,1.050499,1.050499
g4169,g4169.mp3,7.131375,3,1,3.274059,3.78068,0.506621
g4169,g4169.mp3,7.131375,3,2,4.425057,5.453061,1.028005
g4170,g4170.mp3,7.079125,3,0,0.0,1.039773,1.039773
g4170,g4170.mp3,7.079125,3,1,3.060431,3.570272,0.509841
g4170,g4170.mp3,7.079125,3,2,4.298458,5.330159,1.031701
g4171,g4171.mp3,7.10525,3,0,0.0,1.038095,1.038095
g4171,g4171.mp3,7.10525,3,1,3.114376,3.634059,0.519683
g4171,g4171.mp3,7.10525,3,2,4.326395,5.345828,1.019433
g4172,g4172.mp3,7.026875,3,0,0.0,1.040771,1.040771
g4172,g4172.mp3,7.026875,3,1,3.27576,3.80678,0.53102
g4172,g4172.mp3,7.026875,3,2,4.394104,5.41542,1.021315
g4173,g4173.mp3,8.07175,3,0,0.0,1.062018,1.062018
g4173,g4173.mp3,8.07175,3,1,3.333016,3.8361,0.503084
g4173,g4173.mp3,8.07175,3,2,4.936463,5.952381,1.015918
g4174,g4174.mp3,7.340375,3,0,0.0,1.0422,1.0422
g4174,g4174.mp3,7.340375,3,1,3.260703,3.781156,0.520454
g4174,g4174.mp3,7.340375,3,2,4.534104,5.547551,1.013447
g4175,g4175.mp3,7.183625,3,0,0.0,1.034512,1.034512
g4175,g4175.mp3,7.183625,3,1,3.336939,3.845442,0.508503
g4175,g4175.mp3,7.183625,3,2,4.49415,5.511451,1.017302
g4176,g4176.mp3,13.5575,6,0,0.0,1.059206,1.059206
g4176,g4176.mp3,13.5575,6,1,3.5639,4.101882,0.537982
g4176,g4176.mp3,13.5575,6,2,4.943288,6.011406,1.068118
g4176,g4176.mp3,13.5575,6,3,6.922222,7.940454,1.018231
g4176,g4176.mp3,13.5575,6,4,9.018776,10.045057,1.026281
g4176,g4176.mp3,13.5575,6,5,10.739025,11.772857,1.033832
g4177,g4177.mp3,7.732125,3,0,0.0,1.043265,1.043265
g4177,g4177.mp3,7.732125,3,1,3.518005,4.066984,0.54898
g4177,g4177.mp3,7.732125,3,2,4.846349,5.891361,1.045011
g4178,g4178.mp3,7.288125,3,0,0.0,1.026077,1.026077
g4178,g4178.mp3,7.288125,3,1,3.145624,3.663469,0.517846
g4178,g4178.mp3,7.288125,3,2,4.459501,5.490408,1.030907
g4179,g4179.mp3,7.62775,3,0,0.0,1.042812,1.042812
g4179,g4179.mp3,7.62775,3,1,3.344535,3.882041,0.537506
g4179,g4179.mp3,7.62775,3,2,4.688367,5.72458,1.036213
g4180,g4180.mp3,7.079125,3,0,0.0,1.050703,1.050703
g4180,g4180.mp3,7.079125,3,1,2.813878,3.367982,0.554104
g4180,g4180.mp3,7.079125,3,2,4.188957,5.216304,1.027347
g4181,g4181.mp3,7.444875,3,0,0.0,1.044467,1.044467
g4181,g4181.mp3,7.444875,3,1,2.934785,3.462472,0.527687
g4181,g4181.mp3,7.444875,3,2,4.425601,5.457551,1.03195
g4182,g4182.mp3,7.888875,3,0,0.0,1.052358,1.052358
g4182,g4182.mp3,7.888875,3,1,2.932449,3.444014,0.511565
g4182,g4182.mp3,7.888875,3,2,4.622109,5.661565,1.039456
g4183,g4183.mp3,6.844,3,0,0.0,1.043878,1.043878
g4183,g4183.mp3,6.844,3,1,2.985057,3.49746,0.512404
g4183,g4183.mp3,6.844,3,2,4.146349,5.17966,1.033311
g4184,g4184.mp3,9.195,4,0,0.0,1.063537,1.063537
g4184,g4184.mp3,9.195,4,1,3.246168,3.77,0.523832
g4184,g4184.mp3,9.195,4,2,4.285283,4.478413,0.193129
g4184,g4184.mp3,9.195,4,3,5.518934,6.547982,1.029048
g4185,g4185.mp3,7.888875,3,0,0.0,1.072404,1.072404
g4185,g4185.mp3,7.888875,3,1,3.334195,3.871156,0.536961
g4185,g4185.mp3,7.888875,3,2,4.847664,5.897415,1.049751
g4186,g4186.mp3,7.549375,3,0,0.0,1.031678,1.031678
g4186,g4186.mp3,7.549375,3,1,3.21161,3.722472,0.510862
g4186,g4186.mp3,7.549375,3,2,4.615805,5.645238,1.029433
g4187,g4187.mp3,7.732125,3,0,0.0,1.059388,1.059388
g4187,g4187.mp3,7.732125,3,1,3.175125,3.694853,0.519728
g4187,g4187.mp3,7.732125,3,2,4.687574,5.714376,1.026803
g4188,g4188.mp3,6.452125,3,0,0.0,1.040045,1.040045
g4188,g4188.mp3,6.452125,3,1,3.116032,3.640181,0.52415
g4188,g4188.mp3,6.452125,3,2,4.023946,5.03678,1.012834
g4189,g4189.mp3,7.262,3,0,0.0,1.039206,1.039206
g4189,g4189.mp3,7.262,3,1,3.218005,3.729093,0.511088
g4189,g4189.mp3,7.262,3,2,4.474512,5.498141,1.023628
g4190,g4190.mp3,7.497125,3,0,0.0,1.040454,1.040454
